,Name,POS,Teams,numTeams
0,Champ Bailey,CB,"Was,Den",2.0
1,Randy Moss,WR,"Min,Oak,NE,Min,Ten,SF",6.0
2,Michael Vick,QB,"Atl,Phi,NYJ,Pit",4.0
3,Reggie White,LE,"Phi,GB,Car",3.0
4,Derrick Brooks,ROLB,TB,1.0
5,Ted Hendricks,LOLB,"Bal,GB,Oak,LAR",3.0
6,Steve Hutchinson,LG,"Sea,Min,Ten",3.0
7,Lorenzo Neal,FB,"NO,NYJ,TB,Ten,Cin,SD,Bal",7.0
8,Willie Roaf,LT,"NO,KC",2.0
9,Bruce Smith,RE,"Buf,Was",2.0
10,Sean Taylor,FS,Was,1.0
11,Steve Young,QB,"TB,SF",2.0
12,Davante Adams,WR,GB,1.0
13,Jamal Adams,SS,NYJ,1.0
14,Keenan Allen,WR,"SD,LAC",1.0
15,Adrian Amos,SS,Chi,1.0
16,David Andrews,C,NE,1.0
17,Geno Atkins,DT,Cin,1.0
18,David Bakhtiari,LT,GB,1.0
19,Doug Baldwin,WR,Sea,1.0
20,Anthony Barr,ROLB,Min,1.0
21,Odell Beckham Jr,WR,0,1.0
22,Le'Veon Bell,HB,Pit,1.0
23,Eric Berry,SS,KC,1.0
24,Joel Bitonio,LG,Cle,1.0
25,Joey Bosa,LE,"SD,LAC",1.0
26,A.J. Bouye,CB,"Hou,Jax",2.0
27,Nigel Bradham,LOLB,"Buf,Phi",2.0
28,Tom Brady,QB,NE,1.0
29,Drew Brees,QB,"SD,NO",2.0
30,Antonio Brown,WR,Pit,1.0
31,Zach Brown,MLB,0,3.0
32,Malcolm Butler,CB,"NE,Ten",2.0
33,Kevin Byard,FS,Ten,1.0
34,Calais Campbell,LE,"Ari,Jax",2.0
35,Jurrell Casey,RE,Ten,1.0
36,Kam Chancellor,SS,Sea,1.0
37,Kenny Clark,DT,GB,1.0
38,Jadeveon Clowney,ROLB,Hou,1.0
39,Landon Collins,SS,NYG,1.0
40,Amari Cooper,WR,Oak,1.0
41,Fletcher Cox,DT,Phi,1.0
42,Lavonte David,ROLB,TB,1.0
43,Demario Davis,MLB,"NYJ,Cle,NYJ,NO",4.0
44,David DeCastro,RG,Pit,1.0
45,James Develin,FB,",NE",1.0
46,Stefon Diggs,WR,Min,1.0
47,Aaron Donald,RE,"Stl,LA",1.0
48,Demar Dotson,RT,",TB",1.0
