,,Name,OVR,POS,PS4
0,,Eddie George,74.0,HB,"1,900"
1,,Kevin Greene,74.0,LOLB,"1,700"
2,,Donovan McNabb,74.0,QB,"1,900"
3,,Jonathan Ogden,74.0,LT,"1,900"
4,,Deion Sanders,74.0,CB,"8,400"
5,,Lawrence Taylor,74.0,ROLB,"2,100"
6,,Larry Allen,73.0,RG,"2,300"
7,,Champ Bailey,73.0,CB,"2,500"
8,,Tim Brown,73.0,WR,"1,900"
9,,Brian Dawkins,73.0,FS,"2,700"
10,,Tony Gonzalez,73.0,TE,"2,600"
11,,Randy Moss,73.0,WR,"6,500"
12,,John Randle,73.0,DT,"3,000"
13,,Barry Sanders,73.0,HB,"2,000"
14,,Michael Vick,73.0,QB,"4,000"
15,,DeMarcus Ware,73.0,LOLB,"2,000"
16,,Reggie White,73.0,LE,"2,200"
17,,Aeneas Williams,73.0,CB,"1,500"
18,,Derrick Brooks,72.0,ROLB,"1,800"
19,,Ted Hendricks,72.0,LOLB,"1,500"
20,,Steve Hutchinson,72.0,LG,"2,600"
21,,Lorenzo Neal,72.0,FB,"4,000"
22,,Willie Roaf,72.0,LT,"1,500"
23,,Bruce Smith,72.0,RE,"2,000"
24,,Sean Taylor,72.0,FS,"2,200"
25,,Steve Young,72.0,QB,"2,000"
26,,Davante Adams,68.0,WR,"1,100"
27,,Jamal Adams,68.0,SS,"1,100"
28,,Keenan Allen,68.0,WR,"1,500"
29,,Adrian Amos,68.0,SS,"8,400"
30,,David Andrews,68.0,C,"1,500"
31,,Geno Atkins,68.0,DT,"2,900"
32,,David Bakhtiari,68.0,LT,"1,400"
33,,Doug Baldwin,68.0,WR,"1,400"
34,,Anthony Barr,68.0,ROLB,"2,900"
35,,Odell Beckham Jr,68.0,WR,"6,500"
36,,Le'Veon Bell,68.0,HB,"2,200"
37,,Eric Berry,68.0,SS,"3,200"
38,,Joel Bitonio,68.0,LG,"2,200"
39,,Joey Bosa,68.0,LE,"3,200"
40,,A.J. Bouye,68.0,CB,"1,500"
41,,Nigel Bradham,68.0,LOLB,"1,100"
42,,Tom Brady,68.0,QB,"2,100"
43,,Drew Brees,68.0,QB,"1,400"
44,,Antonio Brown,68.0,WR,12.0K
45,,Zach Brown,68.0,MLB,"1,200"
46,,Malcolm Butler,68.0,CB,"1,300"
47,,Kevin Byard,68.0,FS,"1,000"
48,,Calais Campbell,68.0,LE,"1,800"
49,,Derek Carr,68.0,QB,"1,500"
50,,Jurrell Casey,68.0,RE,"1,800"
51,,Kam Chancellor,68.0,SS,"3,800"
52,,Kenny Clark,68.0,DT,"1,400"
53,,Ha Ha Clinton-Dix,68.0,FS,"2,000"
54,,Jadeveon Clowney,68.0,ROLB,"2,600"
55,,Landon Collins,68.0,SS,"4,900"
56,,Amari Cooper,68.0,WR,"1,100"
57,,Fletcher Cox,68.0,DT,"2,100"
58,,Lavonte David,68.0,ROLB,"1,300"
59,,Demario Davis,68.0,MLB,"1,700"
60,,David DeCastro,68.0,RG,"2,000"
61,,James Develin,68.0,FB,"3,200"
62,,Stefon Diggs,68.0,WR,"1,700"
63,,Aaron Donald,68.0,RE,"7,300"
64,,Demar Dotson,68.0,RT,"2,100"
65,,Julian Edelman,68.0,WR,"1,200"
66,,Ezekiel Elliott,68.0,HB,"3,000"
67,,Zach Ertz,68.0,TE,"4,000"
68,,Mike Evans,68.0,WR,"2,000"
69,,Larry Fitzgerald,68.0,WR,"1,900"
70,,Leonard Fournette,68.0,HB,"1,700"
71,,Travis Frederick,68.0,C,"3,000"
72,,Devonta Freeman,68.0,HB,"1,300"
73,,Marcus Gilbert,68.0,RT,"2,000"
74,,Stephon Gilmore,68.0,CB,"1,300"
75,,Melvin Gordon,68.0,HB,"1,200"
76,,Brandon Graham,68.0,LE,"2,000"
77,,Jimmy Graham,68.0,TE,"2,100"
78,,A.J. Green,68.0,WR,"2,400"
79,,Everson Griffen,68.0,RE,"1,500"
80,,Brent Grimes,68.0,CB,"1,100"
81,,Rob Gronkowski,68.0,TE,"3,400"
82,,Todd Gurley II,68.0,HB,"2,400"
83,,Chris Harris Jr,68.0,CB,"1,500"
84,,Damon Harrison Sr,68.0,DT,"2,800"
85,,Casey Hayward,68.0,CB,11.0K
86,,Hunter Henry,68.0,TE,"1,500"
87,,Jordan Hicks,68.0,MLB,"1,100"
88,,Dont'a Hightower,68.0,LOLB,"1,600"
89,,Tyreek Hill,68.0,WR,51.5K
90,,T.Y. Hilton,68.0,WR,"2,500"
91,,DeAndre Hopkins,68.0,WR,"2,200"
92,,Justin Houston,68.0,LOLB,"1,200"
93,,Jordan Howard,68.0,HB,"1,200"
94,,Rodney Hudson,68.0,C,"1,500"
95,,Kareem Hunt,68.0,HB,"1,600"
96,,Micah Hyde,68.0,SS,"3,500"
97,,Melvin Ingram,68.0,RE,"1,700"
98,,Myles Jack,68.0,LOLB,"9,900"
99,,Janoris Jenkins,68.0,CB,"3,700"
100,,Malcolm Jenkins,68.0,SS,"2,000"
101,,David Johnson,68.0,HB,"1,200"
102,,Lane Johnson,68.0,RT,"6,500"
103,,Trumaine Johnson,68.0,CB,"1,200"
104,,Deion Jones,68.0,MLB,"6,500"
105,,Julio Jones,68.0,WR,"4,200"
106,,Reshad Jones,68.0,SS,"1,400"
107,,Cameron Jordan,68.0,LE,"1,200"
108,,Linval Joseph,68.0,DT,"2,200"
109,,Lamarcus Joyner,68.0,FS,"2,100"
110,,Kyle Juszczyk,68.0,FB,"7,000"
111,,Alvin Kamara,68.0,HB,"4,500"
112,,Jason Kelce,68.0,C,39.8K
113,,Travis Kelce,68.0,TE,"2,800"
114,,Ryan Kerrigan,68.0,LOLB,"3,300"
115,,Luke Kuechly,68.0,MLB,"2,400"
116,,Jarvis Landry,68.0,WR,"2,000"
117,,Marshon Lattimore,68.0,CB,"1,900"
118,,Sean Lee,68.0,ROLB,"1,800"
119,,Taylor Lewan,68.0,LT,"1,500"
120,,Andrew Luck,68.0,QB,"1,100"
121,,Alex Mack,68.0,C,"2,100"
122,,Khalil Mack,68.0,LE,10.5K
123,,Patrick Mahomes II,68.0,QB,"5,700"
124,,Zack Martin,68.0,RG,"2,500"
125,,Tyrann Mathieu,68.0,FS,"2,900"
126,,Devin McCourty,68.0,FS,"1,200"
127,,Gerald McCoy,68.0,DT,"6,000"
128,,Rashaan Melvin,68.0,CB,"1,300"
129,,Von Miller,68.0,LOLB,"4,800"
130,,Cam Newton,68.0,QB,"2,500"
131,,Andrew Norwell,68.0,LG,"1,100"
132,,Greg Olsen,68.0,TE,"2,900"
133,,Kelechi Osemele,68.0,LG,"1,200"
134,,Jason Peters,68.0,LT,"1,900"
135,,Marcus Peters,68.0,CB,"4,000"
136,,Patrick Peterson,68.0,CB,"4,300"
137,,Ryan Ramczyk,68.0,RT,"2,500"
138,,Jalen Ramsey,68.0,CB,"7,000"
139,,Jordan Reed,68.0,TE,"3,100"
140,,Xavier Rhodes,68.0,CB,"1,300"
141,,Aaron Rodgers,68.0,QB,"5,000"
142,,Ben Roethlisberger,68.0,QB,"1,300"
143,,Matt Ryan,68.0,QB,"1,200"
144,,Brandon Scherff,68.0,RG,"1,200"
145,,Jabaal Sheard,68.0,RE,"2,000"
146,,Richard Sherman,68.0,CB,"1,500"
147,,Kawann Short,68.0,DT,"3,800"
148,,Josh Sitton,68.0,LG,"1,500"
149,,Darius Slay Jr,68.0,CB,"2,500"
150,,Harrison Smith,68.0,FS,"2,000"
151,,Jimmy Smith,68.0,CB,"1,000"
152,,Telvin Smith,68.0,ROLB,"9,400"
153,,Tyron Smith,68.0,LT,"2,800"
154,,Matthew Stafford,68.0,QB,"1,500"
155,,Terrell Suggs,68.0,ROLB,"2,000"
156,,Ndamukong Suh,68.0,DT,"2,000"
157,,Golden Tate III,68.0,WR,"1,500"
158,,Adam Thielen,68.0,WR,"1,500"
159,,Demaryius Thomas,68.0,WR,"1,500"
160,,Earl Thomas III,68.0,FS,"3,500"
161,,Michael Thomas,68.0,WR,"2,100"
162,,Danny Trevathan,68.0,MLB,"1,400"
163,,Desmond Trufant,68.0,CB,"1,500"
164,,Bobby Wagner,68.0,MLB,"2,600"
165,,Delanie Walker,68.0,TE,"1,500"
166,,J.J. Watt,68.0,LE,"2,200"
167,,Carson Wentz,68.0,QB,"4,100"
168,,Daryl Williams,68.0,RT,"6,600"
169,,Trent Williams,68.0,LT,"1,600"
170,,Russell Wilson,68.0,QB,"2,200"
171,,Marshal Yanda,68.0,RG,"2,500"
172,,Kevin Zeitler,68.0,RG,"2,200"
173,,Terrell Davis,77.0,HB,14.0K
174,,Dan Marino,77.0,QB,13.0K
